City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
hobart,0,AU,1551058200,21,-42.88,147.33,28.0,3.6
bluff,0,AU,1551061773,35,-23.58,149.07,32.42,5.26
kangaatsiaq,68,GL,1551061773,100,68.31,-53.46,-9.16,4.61
kaitangata,20,NZ,1551061774,55,-46.28,169.85,16.6,4.46
souillac,75,FR,1551060000,93,45.6,-0.6,4.0,1.0
kyzyl,24,RU,1551061774,84,51.72,94.43,-17.31,0.21
hermanus,0,ZA,1551061775,97,-34.42,19.24,12.4,1.16
cam ranh,20,VN,1551060000,58,11.92,109.15,29.0,2.1
saint-philippe,90,CA,1551060600,80,45.36,-73.48,2.0,12.3
cape town,20,ZA,1551060000,100,-33.93,18.42,18.0,3.6
port moresby,40,PG,1551060000,59,-9.47,147.16,33.0,7.7
abadan,0,IR,1551060000,63,30.36,48.26,16.0,6.2
manjo,20,CM,1551061776,99,4.85,9.82,19.65,1.21
merauke,8,ID,1551061777,81,-8.49,140.4,31.65,3.36
porto velho,20,BR,1551060000,94,-8.75,-63.87,24.0,0.96
kapaa,75,US,1551059760,64,22.08,-159.32,26.0,7.2
almaznyy,90,RU,1551060000,86,48.03,40.04,-3.0,6.0
lembeni,24,TZ,1551061777,98,-3.78,37.62,19.02,1.21
yulara,0,AU,1551060000,16,-25.24,130.99,37.0,5.1
williston,1,US,1551060900,82,48.15,-103.62,-25.0,2.86
lebu,40,ET,1551060000,76,8.96,38.73,14.0,1.0
tunceli,0,TR,1551059400,92,39.11,39.55,-4.0,2.1
quatre cocos,40,MU,1551060000,83,-20.21,57.76,27.0,4.1
tomatlan,48,MX,1551061779,87,19.93,-105.25,19.9,0.96
saskylakh,68,RU,1551061779,60,71.97,114.09,-21.93,2.41
hamilton,75,BM,1551059700,94,32.3,-64.78,20.0,8.7
codrington,75,AU,1551060000,73,-28.95,153.24,25.0,6.7
dandong,0,CN,1551061780,29,40.12,124.37,5.52,2.01
busselton,48,AU,1551061781,78,-33.64,115.35,24.77,7.16
de aar,0,ZA,1551061781,68,-30.65,24.01,14.7,3.26
livingstonia,32,MW,1551061781,100,-10.61,34.11,20.27,0.81
faanui,76,PF,1551061781,98,-16.48,-151.75,28.85,3.66
yellowknife,40,CA,1551060000,68,62.45,-114.38,-27.0,1.0
cairns,40,AU,1551058200,52,-16.92,145.77,31.0,9.3
alihe,20,CN,1551061782,54,50.57,123.73,-5.03,2.56
healesville,8,AU,1551060000,20,-37.65,145.52,31.0,7.7
mount isa,0,AU,1551058200,46,-20.73,139.49,32.0,4.1
ayan,36,TR,1551061783,87,40.67,33.6,-6.68,1.21
trat,20,TH,1551060000,79,12.25,102.51,29.0,2.6
fortuna,20,ES,1551060000,93,38.18,-1.13,8.0,1.5
papara,20,BR,1551060000,88,-3.98,-38.73,25.0,2.1
bogen,0,DE,1551061784,86,48.91,12.69,-8.31,1.16
lucapa,32,AO,1551061784,92,-8.42,20.74,18.05,1.21
katsuura,20,JP,1551060000,58,33.93,134.5,12.0,5.1
qaanaaq,0,GL,1551061785,86,77.48,-69.36,-29.18,3.21
magnitka,80,RU,1551061786,78,55.34,59.7,-10.53,3.31
danielskuil,0,ZA,1551061786,31,-28.19,23.54,13.45,2.66
cidreira,100,BR,1551061787,100,-30.17,-50.22,21.17,0.66
kavieng,8,PG,1551061787,100,-2.57,150.8,28.55,3.36
baran,0,IN,1551061788,59,25.1,76.52,15.05,1.11
mudgee,0,AU,1551060000,44,-32.6,149.59,24.0,4.6
svarstad,64,NO,1551061200,55,59.4,9.97,4.0,3.6
lompoc,1,US,1551060900,81,34.64,-120.46,13.0,4.1
uri,0,IT,1551059400,74,40.64,8.49,1.0,1.5
bajil,0,ES,1551061790,81,38.23,-2.07,-2.48,1.21
port-cartier,90,CA,1551060660,78,50.03,-66.88,-8.0,11.3
puerto leguizamo,20,CO,1551061791,70,-0.19,-74.78,27.57,1.76
tuktoyaktuk,75,CA,1551060000,78,69.44,-133.03,-12.0,2.6
verkhovazhye,92,RU,1551061792,91,60.75,42.05,-0.18,4.66
veraval,0,FR,1551060000,64,49.65,0.71,5.0,3.1
ust-kut,20,RU,1551061793,60,56.78,105.75,-1.86,3.41
ponta do sol,36,BR,1551061793,86,-20.63,-46.0,20.05,2.31
port lincoln,0,AU,1551061794,56,-34.72,135.86,28.72,1.71
arraial do cabo,48,BR,1551061794,87,-22.97,-42.02,26.77,3.41
suruc,0,TR,1551059400,82,36.98,38.42,4.0,3.1
walvis bay,8,NA,1551060000,82,-22.95,14.51,20.0,1.0
talnakh,80,RU,1551061796,73,69.49,88.39,-14.86,3.46
westport,64,IE,1551061796,89,53.8,-9.52,10.85,5.11
moose factory,90,CA,1551060000,92,51.26,-80.61,-6.0,6.7
trenggalek,8,ID,1551061797,81,-8.05,111.71,28.17,1.31
yar-sale,48,RU,1551061797,72,66.83,70.83,-17.63,1.31
valparaiso,1,US,1551060900,67,41.47,-87.06,-4.0,13.4
igede,20,NG,1551061798,72,10.05,5.94,21.65,2.66
yumen,0,CN,1551061798,56,40.29,97.04,-3.33,1.06
mount gambier,12,AU,1551060000,13,-37.83,140.78,35.0,6.7
kloulklubed,75,PW,1551056040,78,7.04,134.26,28.0,4.6
amahai,48,ID,1551061799,98,-3.31,129.0,29.3,1.06
luderitz,0,NA,1551061799,71,-26.65,15.16,17.72,5.91
george,20,NG,1551060000,100,6.63,3.35,23.0,1.0
marfino,75,RU,1551060000,92,56.07,37.56,0.0,6.0
faya,0,SA,1551060000,62,18.39,42.45,16.0,2.6
praia da vitoria,20,PT,1551060000,81,38.73,-27.07,9.0,8.81
dakar,0,SN,1551060000,40,14.69,-17.45,22.0,5.1
mahebourg,40,MU,1551060000,83,-20.41,57.7,27.0,4.1
jidong,0,CN,1551061803,26,45.25,131.14,-0.18,3.66
kodiak,1,US,1551060900,51,39.95,-94.76,-8.0,3.1
geraldton,90,CA,1551060000,78,49.72,-86.95,-12.0,10.8
halifax,90,CA,1551060000,92,44.65,-63.58,-6.0,11.3
lagoa,0,PT,1551060000,76,37.14,-8.45,14.0,5.1
severo-kurilsk,64,RU,1551061805,100,50.68,156.12,-4.98,3.26
beisfjord,92,NO,1551059400,80,68.38,17.6,4.0,8.7
seymchan,64,RU,1551061805,63,62.93,152.39,-22.83,5.16
blackwater,0,GB,1551059400,64,51.33,-0.78,5.0,1.5
ordu,75,TR,1551059400,87,40.98,37.88,6.0,2.6
carnarvon,0,ZA,1551061807,72,-30.97,22.13,10.72,1.31
khani,90,GE,1551060000,100,41.96,42.96,6.0,3.6
tres arroyos,12,AR,1551061808,71,-38.38,-60.28,11.22,5.81
buala,88,SB,1551061808,80,-8.15,159.59,29.42,2.36
haines junction,0,CA,1551061808,69,60.75,-137.51,-20.06,0.56
bad doberan,40,DE,1551057600,80,54.11,11.9,2.0,2.6
quartucciu,0,IT,1551059700,86,39.25,9.18,9.0,4.1
tautira,75,PF,1551060000,66,-17.73,-149.15,31.0,5.1
vardo,20,US,1551060900,33,39.62,-77.74,8.0,11.8
gazli,8,UZ,1551061810,75,40.13,63.45,-0.86,1.21
airai,36,TL,1551061810,86,-8.93,125.41,26.42,0.71
billings,90,US,1551059580,77,45.79,-108.5,-19.0,6.7
saint george,90,GR,1551059400,43,39.45,22.34,2.0,5.1
gilbues,36,BR,1551061810,96,-9.83,-45.34,20.92,1.16
bredasdorp,12,ZA,1551060000,82,-34.53,20.04,16.0,1.26
kronshagen,0,DE,1551057600,92,54.33,10.08,2.0,1.5
dingle,0,PH,1551061812,54,11.0,122.67,29.4,5.01
ereymentau,56,KZ,1551061812,85,51.62,73.1,-11.33,5.56
camabatela,68,AO,1551061812,92,-8.19,15.37,16.4,1.21
sur,0,OM,1551061813,96,22.57,59.53,21.67,2.76
cartagena,0,ES,1551060000,93,37.63,-1.0,8.0,1.5
boa vista,0,BR,1551060000,48,2.82,-60.67,28.0,6.2
petropavlovsk-kamchatskiy,12,RU,1551060000,47,53.05,158.65,-9.0,3.0
chokurdakh,0,RU,1551061815,0,70.62,147.9,-35.33,3.56
provideniya,75,RU,1551060000,83,64.42,-173.23,0.0,10.0
hofn,12,IS,1551061815,93,64.25,-15.21,5.7,9.06
bilibino,68,RU,1551061816,53,68.06,166.44,-24.46,2.61
temiscaming,90,CA,1551060540,100,46.72,-79.1,-2.0,11.3
koygorodok,80,RU,1551061817,87,60.44,51.01,-6.43,2.31
lukulu,0,ZM,1551061817,82,-14.38,23.24,17.8,1.76
lorengau,36,PG,1551061627,95,-2.02,147.27,28.85,3.06
tuatapere,12,NZ,1551061817,85,-46.13,167.69,14.15,4.76
dali,8,CN,1551061818,57,25.6,100.24,15.15,1.16
prince albert,5,CA,1551060000,57,53.2,-105.75,-24.0,2.1
wonthaggi,12,AU,1551061818,40,-38.6,145.59,27.95,2.46
vila franca do campo,40,PT,1551060000,71,37.72,-25.43,13.0,6.7
shuyskoye,80,RU,1551061819,94,59.37,41.03,0.47,4.96
cayenne,92,GF,1551058200,74,4.94,-52.33,26.0,3.1
shimoda,75,JP,1551060000,77,34.7,138.93,15.0,5.7
rurrenabaque,64,BO,1551061819,77,-14.44,-67.53,24.3,1.96
awjilah,12,LY,1551061584,68,29.14,21.3,5.9,4.21
topolobampo,90,MX,1551059280,63,25.6,-109.05,16.0,5.1
castro,0,CL,1551060000,81,-42.48,-73.76,7.0,3.1
cotonou,40,BJ,1551060000,94,6.37,2.43,27.0,1.5
sambava,76,MG,1551061821,100,-14.27,50.17,26.3,4.91
port-gentil,92,GA,1551061821,96,-0.72,8.78,27.6,2.61
longyearbyen,75,NO,1551059400,64,78.22,15.63,-18.0,5.7
jutai,100,BR,1551061822,98,-1.71,-47.89,23.1,1.16
portland,90,US,1551060840,86,45.52,-122.67,5.0,0.91
kayanza,8,BI,1551061823,92,-2.93,29.63,12.57,1.01
sehithwa,56,BW,1551061823,63,-20.47,22.7,23.72,1.31
dehloran,0,IR,1551061823,81,32.69,47.27,5.02,1.31
baiyin,90,CN,1551060000,74,36.55,104.13,-2.0,3.0
marsa matruh,0,EG,1551056400,67,31.35,27.25,15.0,7.2
sheboygan,90,US,1551060900,67,43.75,-87.71,-8.0,12.3
ryotsu,75,JP,1551060000,58,38.08,138.43,12.0,5.7
taksimo,64,RU,1551061824,48,56.36,114.84,-7.03,0.46
porto novo,20,BR,1551060000,69,-23.68,-45.44,27.0,2.1
hatillo,1,PR,1551059400,93,18.49,-66.83,23.0,5.1
upernavik,32,GL,1551061825,100,72.79,-56.15,-17.93,9.46
dalby,75,AU,1551060000,41,-27.18,151.26,26.0,8.7
ahipara,0,NZ,1551061826,74,-35.17,173.16,20.2,10.06
sioux lookout,90,CA,1551060540,70,50.1,-91.92,-19.0,9.3
ribeira grande,0,PT,1551061826,100,38.52,-28.7,14.72,7.66
houma,24,CN,1551061827,53,35.63,111.36,8.17,1.61
rodrigues alves,0,BR,1551060000,94,-7.74,-72.65,25.0,1.71
rundu,0,NA,1551061827,59,-17.91,19.77,19.42,1.71
port elizabeth,1,US,1551059820,49,39.31,-74.98,10.0,12.9
maamba,0,ZM,1551061828,72,-17.36,27.22,17.95,1.61
farafangana,64,MG,1551061828,100,-22.82,47.83,24.22,1.41
rawson,0,AR,1551061828,47,-43.3,-65.11,8.45,6.61
samana,56,EC,1551061829,90,0.12,-76.97,23.6,0.96
bima,68,ID,1551061829,85,-8.45,118.73,28.67,1.16
sampit,76,ID,1551061829,97,-2.54,112.95,27.45,2.11
banda aceh,12,ID,1551061830,74,5.56,95.32,28.9,2.51
mayya,0,RU,1551060000,75,61.74,130.28,-28.0,1.0
krasnooktyabrskiy,90,RU,1551060000,85,44.93,38.37,-4.0,2.0
alofi,92,NU,1551060000,78,-19.06,-169.92,28.0,7.7
tessalit,0,ML,1551061831,28,20.2,1.01,9.15,4.46
te anau,0,NZ,1551061831,36,-45.41,167.72,16.15,1.56
baykit,68,RU,1551061831,71,61.68,96.39,-7.08,5.26
dosso,0,NE,1551061831,25,13.05,3.19,18.4,5.16
tasiilaq,92,GL,1551059400,92,65.61,-37.64,0.0,20.6
lazi,0,HR,1551061832,70,45.57,14.64,-3.33,1.11
olga,1,US,1551059880,36,34.11,-118.17,18.0,2.1
butaritari,80,KI,1551061832,100,3.07,172.79,28.77,7.81
havelock,1,US,1551059880,48,34.88,-76.9,19.0,6.7
nyurba,8,RU,1551061568,78,63.29,118.35,-15.53,2.66
marsh harbour,0,BS,1551061833,100,26.54,-77.06,24.07,4.21
dwarka,40,IN,1551060000,82,28.58,77.04,13.0,2.11
pokhara,80,NP,1551061833,82,28.21,83.99,8.3,1.06
anadyr,0,RU,1551060000,85,64.73,177.51,-10.0,1.0
yantongshan,0,CN,1551061834,47,43.28,126.02,-0.16,2.51
krasnoshchekovo,76,RU,1551061834,81,51.67,82.73,-7.56,3.11
jiazi,90,CN,1551060000,88,19.61,110.49,22.0,4.0
santa cruz,1,US,1551060900,71,36.97,-122.03,13.0,1.5
broome,0,GB,1551059760,93,52.47,1.45,6.0,1.5
thompson,5,CA,1551060000,61,55.74,-97.86,-29.0,2.1
paamiut,68,GL,1551061641,100,61.99,-49.67,-3.91,15.71
shatsk,0,UA,1551060000,88,51.49,23.92,0.0,4.0
bad hofgastein,90,AT,1551059400,86,47.17,13.11,-1.0,1.0
vinh long,40,VN,1551060000,69,10.25,105.97,28.0,4.1
bandarbeyla,92,SO,1551061837,100,9.49,50.81,25.4,6.91
kaeo,0,NZ,1551061837,46,-35.1,173.78,22.02,8.41
the valley,20,AI,1551060000,69,18.22,-63.06,25.0,5.7
birin,20,SY,1551061838,87,35.01,36.67,-0.21,1.21
shagonar,8,RU,1551061838,59,51.54,92.92,-18.13,1.01
saldanha,0,PT,1551061838,76,41.42,-6.55,-0.53,1.31
zyryanka,24,RU,1551061839,64,65.73,150.89,-25.83,1.21
kyzyl-suu,56,KG,1551061839,100,42.34,78.0,-7.78,1.16
biltine,20,TD,1551061839,42,14.53,20.93,18.95,2.21
kaseda,75,JP,1551060000,100,31.42,130.32,11.0,1.0
la rioja,0,AR,1551061840,94,-29.41,-66.86,20.47,1.06
san jose,36,PH,1551061841,71,15.79,120.99,26.4,0.86
touros,40,BR,1551060000,94,-5.2,-35.46,26.0,1.0
sai buri,40,TH,1551060000,78,6.7,101.62,26.0,3.1
leh,24,IN,1551061841,45,34.16,77.58,-27.81,0.41
manakara,24,MG,1551061842,100,-22.14,48.01,23.57,1.61
pochutla,5,MX,1551059100,61,15.74,-96.47,27.0,3.31
tambacounda,0,SN,1551061842,25,13.77,-13.67,17.97,4.26
tiksi,68,RU,1551061843,66,71.64,128.87,-20.61,8.86
uyemskiy,90,RU,1551060000,95,64.47,40.85,1.0,4.0
chuy,92,UY,1551061843,87,-33.69,-53.46,19.15,2.31
agde,0,FR,1551060000,93,43.31,3.47,7.0,0.5
verkh-usugli,0,RU,1551061844,61,52.7,115.17,-4.81,2.06
avera,1,US,1551060900,33,33.19,-82.53,16.0,5.7
jiexiu,0,CN,1551061844,64,37.02,111.92,8.32,1.76
morros,40,BR,1551060000,94,-2.87,-44.04,25.0,1.5
cherskiy,76,RU,1551061844,76,68.75,161.3,-24.61,4.61
huarmey,24,PE,1551061845,89,-10.07,-78.15,19.97,1.21
kenai,1,US,1551059760,57,60.55,-151.26,-1.0,4.1
esperance,40,TT,1551060000,94,10.24,-61.45,23.0,2.06
kruisfontein,0,ZA,1551061845,88,-34.0,24.73,15.17,1.21
gizo,0,IL,1551059400,81,31.8,34.94,9.0,1.0
maldonado,0,UY,1551061846,100,-34.91,-54.96,15.95,2.41
port hardy,20,CA,1551060000,84,50.7,-127.42,0.0,1.0
kyshtovka,68,RU,1551061846,85,56.56,76.62,-10.18,5.66
torbay,5,CA,1551060000,60,47.66,-52.73,-12.0,2.6
aksarka,0,RU,1551061847,56,66.56,67.8,-21.08,1.41
guerrero negro,0,MX,1551061847,77,27.97,-114.04,13.17,5.86
dillon,90,US,1551059580,84,45.22,-112.64,-16.0,5.7
richards bay,68,ZA,1551061589,93,-28.77,32.06,22.67,2.66
bethel,40,US,1551060660,93,60.79,-161.76,2.0,5.1
yarada,0,IN,1551060000,73,17.65,83.27,24.0,1.0
naze,48,NG,1551061848,95,5.43,7.07,23.55,1.31
mehamn,92,NO,1551061849,92,71.03,27.85,2.17,7.26
sri aman,75,MY,1551060000,79,1.24,111.46,29.0,1.5
aklavik,40,CA,1551060000,49,68.22,-135.01,-5.0,1.96
iqaluit,5,CA,1551060000,68,63.75,-68.52,-28.0,4.1
cuamba,0,MZ,1551061850,89,-14.8,36.54,17.57,1.16
hoquiam,1,US,1551059580,80,46.98,-123.89,4.0,2.6
kijang,0,KR,1551060000,34,35.24,129.21,12.0,4.6
nioro,0,GM,1551061851,36,13.79,-15.05,18.1,2.76
kahului,20,US,1551059760,51,20.89,-156.47,27.0,6.7
bilma,12,NE,1551061851,38,18.69,12.92,8.27,4.41
nome,1,US,1551060900,46,30.04,-94.42,14.0,2.1
sao joao da barra,20,BR,1551061852,95,-21.64,-41.05,28.55,6.56
komsomolskiy,88,RU,1551061852,80,67.55,63.78,-8.98,3.91
wiang sa,40,TH,1551060000,100,8.64,99.37,30.0,1.46
bundaberg,90,AU,1551060540,45,-24.87,152.35,28.0,7.7
grimstad,75,NO,1551059400,86,66.94,13.72,4.0,14.4
kholtoson,0,RU,1551061853,64,50.3,103.31,-8.53,1.66
bojnurd,75,IR,1551060000,92,37.47,57.33,-1.0,0.41
coahuayana,12,MX,1551061854,59,18.62,-100.35,19.92,1.06
kamenka,80,RU,1551061854,89,53.19,44.05,-7.21,4.76
wanning,90,AT,1551059400,69,48.64,13.53,1.0,1.0
carstairs,20,CA,1551060000,76,51.56,-114.1,-21.0,3.6
tazovskiy,88,RU,1551061855,65,67.47,78.7,-20.38,4.81
mildura,36,AU,1551060000,19,-34.18,142.16,32.0,3.1
salalah,40,OM,1551059400,78,17.01,54.1,23.0,2.1
sibiti,12,CG,1551061856,94,-3.69,13.35,22.02,1.26
rocha,12,UY,1551061626,88,-34.48,-54.34,13.9,1.16
chapais,90,CA,1551060000,85,49.78,-74.86,-6.0,7.7
dikson,48,RU,1551061857,79,73.51,80.55,-20.53,5.16
mana,88,RS,1551060000,79,43.52,20.24,-2.0,2.6
sinnamary,100,GF,1551061857,95,5.38,-52.96,26.05,5.56
aripuana,44,BR,1551061857,91,-9.17,-60.63,24.2,0.91
searcy,1,US,1551059760,52,35.25,-91.74,7.0,2.1
ornskoldsvik,0,SE,1551059400,48,63.29,18.72,7.0,14.4
emba,32,CY,1551060000,71,34.81,32.42,14.0,3.6
dauphin,1,CA,1551060000,69,51.15,-100.04,-25.0,5.1
madimba,75,CM,1551056400,100,4.42,9.93,25.0,2.1
praia,0,BR,1551060000,73,-20.25,-43.81,25.0,1.0
necochea,8,AR,1551061859,97,-38.55,-58.74,11.3,5.31
tsabong,0,BW,1551061859,29,-26.02,22.4,18.4,3.56
kurikka,80,FI,1551061200,64,62.62,22.4,4.0,5.7
manokwari,48,ID,1551061860,99,-0.87,134.08,27.47,3.81
jardim,0,BR,1551061860,60,-21.48,-56.15,27.1,3.41
sitka,20,US,1551061860,67,37.17,-99.65,2.45,5.91
podor,0,MR,1551061861,25,16.65,-14.96,15.67,4.41
ulaangom,8,MN,1551061861,58,49.98,92.07,-19.18,1.06
basse,0,DE,1551059400,77,52.55,9.51,4.0,1.26
newport,32,GB,1551059400,56,51.59,-3.0,6.0,2.6
grindavik,75,IS,1551060000,86,63.84,-22.43,7.0,9.8
neman,1,US,1551060900,43,32.58,-85.98,13.0,2.1
khandyga,24,RU,1551061863,65,62.65,135.58,-26.11,1.16
luis correia,80,BR,1551061863,94,-2.88,-41.67,23.2,1.51
hasaki,75,JP,1551060600,62,35.73,140.83,13.0,2.1
pangnirtung,0,CA,1551061863,39,66.15,-65.72,-32.36,1.46
baraboo,75,US,1551060900,72,43.47,-89.74,-11.0,9.8
honningsvag,92,NO,1551061864,96,70.98,25.97,2.6,8.01
corinth,90,GR,1551059400,97,37.94,22.93,5.0,5.7
olinda,75,EC,1551060000,78,-2.03,-79.75,27.0,2.6
viedma,0,AR,1551061865,51,-40.81,-62.99,12.35,8.66
chachapoyas,92,PE,1551061865,88,-6.23,-77.87,17.22,0.86
acapulco,20,MX,1551058860,88,16.86,-99.88,25.0,1.31
panuco,40,MX,1551059100,22,22.88,-102.54,20.0,7.7
mnogovershinnyy,0,RU,1551061866,49,53.94,139.92,-12.96,1.36
ixtapa,40,MX,1551059220,88,20.71,-105.21,21.0,0.81
kirakira,8,SB,1551061867,100,-10.46,161.92,28.65,4.81
inyonga,0,TZ,1551061867,90,-6.72,32.06,14.97,0.71
vocklamarkt,90,AT,1551059400,86,48.0,13.48,1.0,1.0
klaksvik,48,FO,1551061200,93,62.23,-6.59,9.0,6.2
poyarkovo,0,RU,1551061867,55,49.62,128.65,-3.73,3.46
sohag,0,EG,1551056400,51,26.55,31.7,16.0,2.1
teacapan,44,MX,1551061868,64,22.54,-105.74,19.42,0.86
portel,0,PT,1551060000,76,38.31,-7.71,9.0,1.0
klyuchi,64,RU,1551061868,84,52.25,79.17,-9.08,3.76
madarounfa,24,NE,1551061869,46,13.3,7.16,16.65,2.16
barcelos,0,PT,1551060000,62,41.53,-8.62,13.0,4.6
takoradi,44,GH,1551061869,100,4.89,-1.75,27.7,4.76
esil,76,KZ,1551061627,87,51.96,66.41,-11.56,5.21
mayo,40,CA,1551060000,70,63.59,-135.9,-19.0,1.51
shirokiy,92,RU,1551061870,91,53.87,39.17,-1.33,6.86
gra liyia,75,GR,1551059400,81,35.02,25.68,11.0,7.2
juegang,24,CN,1551061871,92,32.31,121.18,8.77,3.36
dunedin,8,NZ,1551061871,66,-45.87,170.5,15.17,1.91
el mante,75,MX,1551059040,25,20.61,-103.43,24.0,3.1
nelson bay,40,AU,1551060000,47,-32.72,152.14,25.0,7.7
erzin,40,TR,1551059400,93,36.95,36.2,9.0,1.5
husavik,24,CA,1551061872,70,50.56,-96.99,-21.08,5.56
bonavista,0,CA,1551061872,95,48.65,-53.11,-14.08,5.01
havre-saint-pierre,75,CA,1551060000,72,50.23,-63.6,-12.0,4.1
lavrentiya,24,RU,1551061873,84,65.58,-170.99,-1.21,16.01
independence,1,US,1551060900,57,39.09,-94.42,-2.0,3.1
brownsville,1,US,1551059700,77,25.91,-97.49,16.0,2.6
mahajanga,20,MG,1551060000,88,-15.72,46.32,25.0,2.1
dekar,92,BW,1551061874,77,-21.53,21.93,19.17,2.41
nouadhibou,0,MR,1551060000,48,20.93,-17.03,18.0,5.7
sarahan,56,IN,1551061875,89,31.51,77.79,-15.03,0.31
nizwa,0,OM,1551061875,77,22.93,57.53,11.07,1.06
umea,0,SE,1551059400,56,63.83,20.26,6.0,10.3
petatlan,20,MX,1551058800,69,17.52,-101.27,28.0,2.21
san pedro,8,AR,1551061874,86,-33.68,-59.66,17.3,4.01
skibbereen,75,IE,1551060000,100,51.55,-9.27,8.0,5.1
turukhansk,76,RU,1551061877,74,65.8,87.96,-13.66,3.56
taoudenni,0,ML,1551061877,28,22.68,-3.98,10.67,5.11
haapiti,75,PF,1551060000,66,-17.57,-149.87,31.0,5.1
bay roberts,5,CA,1551060000,60,47.58,-53.28,-12.0,2.6
caxito,20,BR,1551061878,78,-22.65,-42.51,26.47,1.31
morris,40,US,1551060900,72,41.36,-88.42,-5.0,14.9
